# time_ns ram_addr data nMRD nMWR Q SC
398375 00AA 00 1 1 1 01
400375 007B FD 0 1 1 00
402375 007C F0 0 1 1 01
404375 007D 52 0 1 1 00
406375 00AB D1 1 1 1 01
408375 007E 12 0 1 1 00
410375 00AB 00 1 1 1 01
412375 007F 7D 0 1 1 00
414375 0080 F0 0 1 1 01
416375 0081 52 0 1 1 00
418375 00AC 1F 1 1 1 01
420375 0082 12 0 1 1 00
422375 00AC 00 1 1 1 01
424375 0083 F8 0 1 1 00
426375 0084 92 0 1 1 01
428375 0085 F7 0 1 1 00
430375 00AD 57 0 1 1 01
432375 0086 52 0 1 1 00
434375 00AD 3B 1 1 1 01
436375 0087 12 0 1 1 00
438375 00AD 00 1 1 1 01
440375 0088 F8 0 1 1 00
442375 0089 71 0 1 1 01
444375 008A 7F 0 1 1 00
446375 008B F2 0 1 1 01
448375 008C 52 0 1 1 00
450375 00AE 7F 1 1 1 01
452375 008D 12 0 1 1 00
454375 00AE 00 1 1 1 01
456375 008E F8 0 1 1 00
458375 008F 4A 0 1 1 01
460375 0090 77 0 1 1 00
462375 00AF C1 0 1 1 01
464375 0091 52 0 1 1 00
466375 00AF 88 1 1 1 01
468375 0092 12 0 1 1 00
470375 00AF 00 1 1 1 01
472375 0093 F8 0 1 1 00
474375 0094 1B 0 1 1 01
476375 0095 FF 0 1 1 00
478375 0096 1A 0 1 1 01
480375 0097 52 0 1 1 00
482375 00B0 01 1 1 1 01
484375 0098 30 0 1 1 00
486375 0099 B1 0 1 1 01
488375 00B1 31 0 1 1 00
490375 00B2 B5 0 1 1 01
492375 00B5 7A 0 1 1 00
494375 00B6 00 1 1 0 01
496375 00B6 39 0 1 0 00
498375 00B7 B3 0 1 0 01
500375 00B3 3A 0 1 0 00
502375 00B4 B8 0 1 0 01
504375 00B8 3C 0 1 0 00
506375 00B9 B3 0 1 0 01
508375 00BA 34 0 1 0 00
510375 00BB BE 0 1 0 01
512375 00BE C8 0 1 0 00
514375 00BF C4 0 1 0 01
516375 00C0 C4 0 1 0 01
518375 00C1 C0 0 1 0 00
520375 00C2 01 0 1 0 01
522375 00C3 00 0 1 0 01
524375 0100 F8 0 1 0 00
526375 0101 12 0 1 0 01
528375 0102 CA 0 1 0 00
530375 0103 00 0 1 0 01
532375 0104 C4 0 1 0 01
534375 00C4 C5 0 1 0 00
